node_id,dx,dy,dz,max_stress
10000,-0.0120101,0.00506464,0.00468131,3.57065
10001,-0.011626,0.0048714,0.0045138,3.52546
10002,-0.0113598,0.00467321,0.00434792,3.47976
10003,-0.00911273,0.00524262,0.00470715,3.52584
10004,-0.00878481,0.00484914,0.00438122,3.4455
10005,-0.0221983,0.00531883,0.00530383,3.88846
10006,-0.0189646,0.00529866,0.00515019,3.79691
10007,-0.015685,0.00527903,0.00499905,3.70629
10008,-0.0196558,0.00549905,0.00533566,3.84671
10009,-0.0168668,0.00472434,0.0046179,3.64024
10010,-0.0175648,0.00491208,0.00479173,3.69322
10011,-0.0182658,0.00510417,0.00496972,3.74528
10012,-0.0205465,0.0049299,0.00493349,3.77819
10013,-0.0145968,0.00489125,0.00465131,3.60998
10014,-0.0151814,0.00670472,0.00611997,3.87586
10015,-0.0147879,0.00649167,0.00593207,3.84561
10016,-0.0143826,0.00628054,0.00574571,3.81051
10017,-0.0139758,0.00607147,0.00556142,3.77574
10018,-0.013569,0.00586484,0.00537958,3.73688
10019,-0.0105467,0.00646931,0.0057521,3.73059
1002,-0.079236,0.00326349,-6.22432,342.173
10020,-0.0100049,0.00605023,0.00539143,3.66902
10021,-0.0270363,0.0065622,0.0064915,4.19918
10022,-0.0230495,0.00653807,0.00630129,4.08007
10023,-0.018956,0.00651447,0.0061147,3.96299
10024,-0.0236971,0.00675201,0.00650037,4.12134
10025,-0.0210283,0.00590765,0.00571463,3.94363
10026,-0.0217091,0.00611571,0.00590803,3.99096
10027,-0.0223817,0.00632588,0.00610356,4.03532
10028,-0.025455,0.0061389,0.00608607,4.0995
10029,-0.0178691,0.00609315,0.00573287,3.88362
1003,-0.069308,0.0291282,-6.02317,275.543
10030,-0.0250651,0.00355341,0.00416206,3.65308
10031,-0.0228338,0.00353496,0.00403126,3.58142
10032,-0.0205425,0.00351209,0.00389936,3.5074
10033,-0.0182197,0.00349072,0.00377073,3.43196
10034,-0.0158627,0.00346439,0.0036398,3.35452
10035,-0.0135146,0.00343955,0.00351227,3.27582
10036,-0.011223,0.00342066,0.0033928,3.19966
10037,-0.00896172,0.00340314,0.0032762,3.12239
10038,-0.00679925,0.00338905,0.00316653,3.04885
10039,-0.0193068,0.00367444,0.00395207,3.50306
1004,-0.0833406,-0.0104824,-6.25629,400.522
10040,-0.0204011,0.00386148,0.00413687,3.57106
10041,-0.0222495,0.00403434,0.00434835,3.6586
10042,-0.0241604,0.0042101,0.00456609,3.75035
10043,-0.0254587,0.00440079,0.00476592,3.82086
10044,-0.0230883,0.00387045,0.00427375,3.65148
10045,-0.025695,0.00388108,0.00441386,3.7306
10046,-0.0280685,0.00390569,0.00455811,3.8075
10047,-0.024254,0.0037066,0.00422054,3.65646
10048,-0.0303805,0.00444385,0.0050482,3.96964
10049,-0.0289405,0.00425213,0.00483877,3.89393
1005,-0.0729573,0.0154423,-6.05491,306.89
10050,-0.027307,0.00406515,0.00462394,3.81209
10051,-0.0265833,0.00423055,0.00470092,3.82318
10052,-0.0312946,0.00427863,0.0049867,3.96914
10053,-0.0142567,0.00361157,0.00367105,3.33745
10054,-0.0149994,0.00378663,0.00383264,3.39908
10055,-0.0153179,0.00396255,0.00397649,3.44608
10056,-0.0155937,0.00414124,0.00412155,3.49128
10057,-0.015905,0.00433861,0.00428334,3.53936
10058,-0.0176954,0.00382325,0.00398256,3.48699
10059,-0.0176656,0.00419161,0.00425097,3.55623
1006,-0.0892891,-0.0203965,-6.41989,421.549
10060,-0.0197638,0.00424287,0.00438344,3.62512
10061,-0.0219967,0.00422603,0.00447427,3.69023
10062,-0.0201509,0.0040506,0.0042609,3.60284
10063,-0.0206867,0.0044095,0.00454836,3.68715
10064,-0.0075149,0.00373251,0.00345902,3.16106
10065,-0.00992747,0.00374759,0.00357709,3.23762
10066,-0.0124521,0.00376643,0.00370331,3.31895
10067,-0.0094462,0.00357382,0.00342529,3.18023
10068,-0.0108385,0.00428825,0.00402799,3.38561
10069,-0.0105781,0.00410154,0.00387379,3.33861
1007,-0.0937311,-0.026031,-6.56126,471.703
10070,-0.0102625,0.00392313,0.00372439,3.2884
10071,-0.00804033,0.00408621,0.00375338,3.26228
10072,-0.0130784,0.00412085,0.00399632,3.41491
10073,-0.0111723,0.00234109,0.00263478,2.93094
10074,-0.0121113,0.00249294,0.00278492,3.00416
10075,-0.0130788,0.00264873,0.00293903,3.07673
10076,-0.0140676,0.00280815,0.00309669,3.14867
10077,-0.015085,0.00297302,0.00325965,3.22049
10078,-0.0161193,0.0031414,0.00342614,3.29172
10079,-0.0171638,0.00331438,0.00359672,3.36211
